place	time	pace	age	gender	state
1280	74.2	7.42	31	M	VA
6034	103.2	10.32	22	M	DC
150	69.17	6.917	28	F	DC
2600	82.22	8.222	36	M	VA
2465	89.18	8.918	28	F	NC
8899	119.67	11.967	38	F	MD
9218	124.35	12.435	32	F	DC
2927	84.08	8.408	42	M	MD
1798	86.28	8.628	26	F	DC
6373	107.32	10.732	29	M	VA
4019	95.27	9.527	32	F	MD
4465	92.13	9.213	60	M	VA
588	77.25	7.725	33	F	DC
2848	83.6	8.36	56	M	MD
6120	104.15	10.415	53	M	MD
4832	97.92	9.792	29	F	VA
866	79.98	7.998	53	F	MD
1058	72.47	7.247	42	M	MD
5810	101.5	10.15	49	F	NJ
6933	119.18	11.918	38	M	MD
9064	121.68	12.168	36	F	MA
4688	93.4	9.34	34	M	DC
6856	105.87	10.587	23	F	MA
1363	74.87	7.487	29	M	MA
7494	108.97	10.897	26	F	VA
626	77.77	7.777	26	F	MD
1808	77.6	7.76	32	M	VA
5521	98.72	9.872	52	M	VA
6678	105	10.5	50	F	VA
4585	92.75	9.275	26	M	VA
2530	89.47	8.947	26	F	DC
6664	104.93	10.493	41	F	PA
1179	73.38	7.338	34	M	VA
4444	96.7	9.67	38	F	VA
4378	96.42	9.642	23	F	NY
489	76.08	7.608	52	F	MD
41	63.25	6.325	28	F	VA
2114	87.75	8.775	29	F	DC
8177	113.52	11.352	26	F	DC
3815	88.55	8.855	49	M	MD
3672	87.77	8.777	58	M	PA
6955	119.72	11.972	62	M	MD
5520	98.72	9.872	36	M	DC
7118	107.18	10.718	41	F	VA
2932	84.15	8.415	38	M	PA
970	80.9	8.09	24	F	VA
7110	130.63	13.063	73	M	MD
2143	87.83	8.783	26	F	NY
3663	94	9.4	24	F	VA
8995	120.77	12.077	71	F	MD
3840	88.65	8.865	30	M	DC
3983	89.38	8.938	56	M	NH
5987	102.27	10.227	28	F	VA
6562	104.53	10.453	38	F	MD
1877	77.95	7.795	27	M	VA
8737	117.85	11.785	44	F	VA
2436	81.2	8.12	19	M	DC
2375	80.8	8.08	26	M	MD
8104	113	11.3	27	F	DC
1190	82.55	8.255	43	F	NJ
2560	81.93	8.193	27	M	MD
5758	100.67	10.067	37	M	VA
3714	94.2	9.42	26	F	VA
5153	96.3	9.63	29	M	DC
5811	101.05	10.105	47	M	VA
2444	81.23	8.123	40	M	VA
3696	94.13	9.413	35	F	DC
3058	84.78	8.478	46	M	NY
8577	116.45	11.645	26	F	DC
7642	109.92	10.992	43	F	VA
8398	115.08	11.508	52	F	VA
4763	97.68	9.768	25	F	NY
6118	104.13	10.413	27	M	DC
5709	101.1	10.11	22	F	MD
185	61.35	6.135	41	M	MD
8338	114.6	11.46	46	F	VA
9219	124.35	12.435	32	F	VA
5902	101.95	10.195	38	M	VA
5153	99.05	9.905	28	F	PA
5900	101.87	10.187	49	F	DE
4462	96.78	9.678	30	F	LA
664	78.15	7.815	43	F	NY
974	80.93	8.093	32	F	DC
5086	95.82	9.582	38	M	FL
4280	96.1	9.61	49	F	VA
6389	103.9	10.39	32	F	MD
7175	140.23	14.023	65	M	MD
1303	83.37	8.337	30	F	DC
3750	94.33	9.433	32	F	NY
2363	80.73	8.073	33	M	VA
5685	100.08	10.008	38	M	VA
6695	112.53	11.253	52	M	MD
1408	75.2	7.52	33	M	VA
8193	113.68	11.368	31	F	MD
6638	104.85	10.485	55	F	MD
7315	107.98	10.798	30	F	VA
8242	114.02	11.402	57	F	VA
1196	73.5	7.35	53	M	VA
6247	105.7	10.57	38	M	VA
1678	85.65	8.565	36	F	PA
1733	77.18	7.718	45	M	VA
6028	102.42	10.242	41	F	VA
5004	98.52	9.852	24	F	VA
860	70.73	7.073	43	M	MA
758	79.13	7.913	51	F	NY
7983	112.15	11.215	32	F	DC
685	69.02	6.902	46	M	DC
4846	94.4	9.44	21	M	MD
1064	81.58	8.158	43	F	MD
2858	90.9	9.09	28	F	DC
4355	91.52	9.152	46	M	MD
6973	120.25	12.025	41	M	VA
6041	103.25	10.325	35	M	MD
9323	126.83	12.683	41	F	MD
2039	78.87	7.887	40	M	MD
1154	73.23	7.323	24	M	DC
8695	117.5	11.75	49	F	VA
98	66.9	6.69	31	F	UT
6100	103.9	10.39	33	M	PA
2805	83.38	8.338	33	M	VA
893	71.03	7.103	37	M	NY
3642	93.93	9.393	24	F	PA
2330	88.62	8.862	35	F	VA
9063	121.68	12.168	52	F	MD
2751	90.42	9.042	55	F	MD
9566	133.45	13.345	41	F	VA
2669	82.63	8.263	50	M	PA
635	77.83	7.783	25	F	DC
32	53.65	5.365	26	M	VA
75	65.77	6.577	29	F	PA
4295	91.13	9.113	27	M	VA
8254	114.08	11.408	34	F	DC
4590	97.2	9.72	40	F	VA
2684	82.73	8.273	53	M	NY
645	77.93	7.793	33	F	MD
4167	95.78	9.578	41	F	VA
392	74.93	7.493	33	F	VA
8524	115.93	11.593	32	F	VA
4531	97	9.7	45	F	VA
6534	109.42	10.942	41	M	MD
1937	78.27	7.827	41	M	VA
3950	89.22	8.922	60	M	MD
7013	106.58	10.658	27	F	MD
7171	138.7	13.87	46	M	MD
9430	129.12	12.912	46	F	NJ
4187	95.85	9.585	29	F	MD
5311	99.67	9.967	31	F	VA
2556	81.92	8.192	34	M	DC
6775	105.4	10.54	47	F	VA
8375	114.98	11.498	28	F	MD
2482	89.25	8.925	21	F	MD
1065	81.62	8.162	45	F	DC
3120	85.03	8.503	39	M	VA
31	53.62	5.362	33	M	PA
7232	107.68	10.768	26	F	VA
2205	79.75	7.975	53	M	VA
374	65.1	6.51	43	M	MD
8241	114.02	11.402	27	F	MD
4814	94.22	9.422	57	M	MA
2701	82.83	8.283	23	M	MD
6558	109.83	10.983	37	M	MD
359	74.45	7.445	29	F	VA
7131	131.87	13.187	47	M	OH
1301	83.35	8.335	29	F	VA
6709	105.12	10.512	33	F	VA
907	71.18	7.118	37	M	VA
1910	86.82	8.682	32	F	MD
4112	95.62	9.562	38	F	VA
3615	93.85	9.385	33	F	NY
3701	94.15	9.415	53	F	FL
563	76.97	7.697	24	F	DC
8727	117.73	11.773	32	F	MD
6604	111.03	11.103	14	M	VA
6756	105.33	10.533	51	F	MD
5230	99.35	9.935	27	F	DC
1551	84.98	8.498	29	F	DC
7157	107.33	10.733	37	F	DC
475	75.95	7.595	25	F	VA
134	59.85	5.985	30	M	MA
4752	97.67	9.767	25	F	DC
4568	97.12	9.712	27	F	MD
3076	84.85	8.485	32	M	VA
3409	93.15	9.315	27	F	PA
1701	85.83	8.583	30	F	DC
5502	98.62	9.862	43	M	DC
3273	92.6	9.26	27	F	MD
6411	103.98	10.398	39	F	DE
4438	96.68	9.668	40	F	VA
5717	100.35	10.035	53	M	PA
2105	79.17	7.917	61	M	DC
6365	107.2	10.72	39	M	VA
8030	112.47	11.247	44	F	VA
5999	102.32	10.232	29	F	DC
5249	99.42	9.942	43	F	MD
8504	115.77	11.577	23	F	DC
9104	122.42	12.242	49	F	MD
2750	90.42	9.042	16	F	DC
482	66.75	6.675	45	M	MD
5516	98.7	9.87	49	M	MD
4552	92.55	9.255	44	M	VA
1921	78.22	7.822	30	M	VA
709	69.3	6.93	35	M	VA
6069	103.52	10.352	53	M	MD
9371	127.95	12.795	49	F	FL
2846	83.6	8.36	43	M	VA
2996	91.47	9.147	28	F	PA
6519	109.2	10.92	54	M	MD
8465	115.52	11.552	40	F	MD
3512	93.52	9.352	32	F	VA
5386	97.73	9.773	51	M	MD
3230	85.57	8.557	24	M	MD
1890	78	7.8	52	M	VA
9120	122.6	12.26	28	F	VA
6212	105.22	10.522	27	M	MD
2012	87.33	8.733	34	F	DC
4807	97.82	9.782	42	F	MD
7067	106.88	10.688	28	F	DC
2177	87.97	8.797	27	F	DC
181	61.2	6.12	22	M	DC
7646	109.92	10.992	32	F	MD
5424	100.1	10.01	34	F	MD
6262	105.9	10.59	57	M	PA
1540	75.92	7.592	40	M	VA
813	70.28	7.028	28	M	DC
6248	103.32	10.332	35	F	DC
6380	103.87	10.387	70	F	VA
3523	93.57	9.357	42	F	VA
2174	79.57	7.957	41	M	DC
5593	99.38	9.938	49	M	MD
4774	97.7	9.77	27	F	DC
7652	109.95	10.995	34	F	NY
4198	95.88	9.588	24	F	DC
3952	89.23	8.923	34	M	DC
3344	92.85	9.285	17	F	VA
4592	92.8	9.28	28	M	DC
8471	115.53	11.553	32	F	MD
2591	82.17	8.217	31	M	VA
6842	115.98	11.598	25	M	DC
4121	90.15	9.015	34	M	MD
1544	75.93	7.593	44	M	VA
6342	103.73	10.373	46	F	MD
1397	84.07	8.407	24	F	VA
3725	94.23	9.423	36	F	MD
6675	112.18	11.218	62	M	MD
6581	104.63	10.463	28	F	VA
4860	98.03	9.803	30	F	VA
5692	100.15	10.015	48	M	VA
8317	114.42	11.442	30	F	DC
3377	93	9.3	23	F	DC
577	67.88	6.788	30	M	DC
2554	89.58	8.958	24	F	DC
6786	114.65	11.465	28	M	MD
1257	74	7.4	40	M	VA
1435	84.28	8.428	43	F	MD
8529	115.97	11.597	25	F	MD
4386	96.47	9.647	29	F	DC
1849	86.5	8.65	43	F	FL
3969	89.32	8.932	41	M	VA
5515	100.45	10.045	31	F	MD
3455	93.27	9.327	32	F	VA
6366	103.82	10.382	58	F	NY
3399	93.12	9.312	53	F	MD
643	77.9	7.79	31	F	VA
891	80.28	8.028	30	F	NC
6202	105.05	10.505	65	M	NC
163	69.75	6.975	28	F	DC
6100	102.72	10.272	32	F	NY
7969	112.05	11.205	32	F	MD
2408	80.97	8.097	37	M	CA
9588	134.78	13.478	32	F	NY
8731	117.78	11.778	35	F	MD
8716	117.63	11.763	34	F	MD
5722	100.38	10.038	39	M	NJ
6429	108.03	10.803	54	M	DC
8324	114.48	11.448	27	F	VA
1740	77.23	7.723	27	M	DC
8058	112.72	11.272	30	F	VA
5647	99.83	9.983	37	M	VA
1504	84.62	8.462	36	F	PA
1597	85.23	8.523	29	F	VA
4466	96.8	9.68	33	F	DC
6619	111.3	11.13	63	M	VA
9618	136.1	13.61	63	F	VA
5549	98.98	9.898	31	M	MD
3027	91.63	9.163	22	F	MD
936	71.43	7.143	51	M	VA
6694	105.07	10.507	38	F	NJ
3467	86.82	8.682	43	M	VA
1603	85.3	8.53	29	F	MD
2225	79.87	7.987	25	M	VA
5296	97.18	9.718	32	M	DC
2931	91.17	9.117	52	F	GA
4172	90.48	9.048	47	M	MD
3155	92.08	9.208	28	F	NY
723	78.78	7.878	51	F	MD
8096	112.95	11.295	32	F	DE
6781	105.43	10.543	34	F	NY
6043	103.27	10.327	51	M	VA
5119	96.03	9.603	48	M	MD
6306	103.57	10.357	26	F	VA
169	70.1	7.01	26	F	VA
5146	96.22	9.622	31	M	VA
1594	76.27	7.627	25	M	DC
9381	128.13	12.813	48	F	MD
4037	95.32	9.532	51	F	VA
3688	94.1	9.41	22	F	MD
7538	109.2	10.92	26	F	VA
4913	94.8	9.48	28	M	MD
7996	112.2	11.22	23	F	DC
3289	85.85	8.585	29	M	DC
5708	101.1	10.11	36	F	VA
9531	131.98	13.198	60	F	MA
501	67.02	6.702	26	M	VA
6840	105.77	10.577	30	F	MD
3959	95.1	9.51	26	F	DC
8141	113.25	11.325	30	F	DC
3807	94.55	9.455	37	F	VA
6529	104.45	10.445	25	F	MD
5889	101.85	10.185	56	M	TX
6385	107.52	10.752	38	M	DC
2045	87.48	8.748	25	F	VA
1549	75.95	7.595	59	M	VA
3153	85.2	8.52	31	M	DC
2375	88.8	8.88	27	F	VA
5032	98.62	9.862	43	F	MA
6914	106.12	10.612	30	F	MD
6047	103.32	10.332	27	M	DC
5800	101.47	10.147	32	F	NY
949	71.57	7.157	36	M	VA
2946	91.23	9.123	33	F	NY
5799	100.95	10.095	48	M	DC
2368	88.78	8.878	27	F	VA
7665	110.02	11.002	23	F	DC
3243	85.65	8.565	39	M	MD
6000	102.92	10.292	30	M	VA
3722	94.23	9.423	28	F	MD
5294	99.6	9.96	40	F	DC
1297	83.3	8.33	38	F	MD
6266	103.42	10.342	23	F	VA
1374	83.83	8.383	40	F	VA
962	80.77	8.077	35	F	VA
6825	115.62	11.562	49	M	VA
5887	101.83	10.183	29	M	VA
2006	78.67	7.867	24	M	VA
4844	94.38	9.438	32	M	VA
4495	92.27	9.227	40	M	VA
5320	99.7	9.97	27	F	VA
5448	100.17	10.017	29	F	DC
2336	80.53	8.053	57	M	MD
1181	82.5	8.25	24	F	NJ
2508	89.38	8.938	34	F	VA
1023	81.33	8.133	36	F	MD
6270	106.02	10.602	26	M	VA
6919	118.73	11.873	31	M	NY
191	61.47	6.147	28	M	NC
7734	110.43	11.043	31	F	MD
1290	74.3	7.43	35	M	DC
1045	81.45	8.145	28	F	VA
6122	102.78	10.278	56	F	MD
2521	89.42	8.942	32	F	MD
6885	117.4	11.74	24	M	NC
1886	86.7	8.67	34	F	MD
5614	100.8	10.08	24	F	VA
2722	82.93	8.293	46	M	MD
8555	116.22	11.622	31	F	VA
491	76.08	7.608	45	F	MD
7893	111.45	11.145	29	F	PA
7424	108.55	10.855	27	F	DC
4989	98.47	9.847	34	F	VA
3783	94.45	9.445	30	F	CA
3319	92.75	9.275	47	F	DC
1188	73.43	7.343	27	M	AL
6870	117.03	11.703	24	M	PA
1417	84.17	8.417	24	F	VA
8095	112.95	11.295	34	F	DC
4357	96.35	9.635	28	F	VA
4555	97.08	9.708	56	F	DC
431	75.45	7.545	27	F	DC
1951	78.32	7.832	24	M	VA
5503	100.37	10.037	30	F	DC
7103	130.12	13.012	33	M	MD
6994	121.37	12.137	46	M	VA
446	66.2	6.62	37	M	VA
2376	80.82	8.082	25	M	MD
6849	116.28	11.628	48	M	VA
5240	99.38	9.938	31	F	MD
78	57.42	5.742	45	M	MD
2589	89.75	8.975	40	F	MD
7481	108.87	10.887	31	F	DC
4257	96.03	9.603	31	F	NY
4254	90.88	9.088	57	M	NJ
6595	104.7	10.47	32	F	MA
5404	97.87	9.787	28	M	DC
2175	87.97	8.797	54	F	IL
7010	122.12	12.212	51	M	VA
836	70.5	7.05	38	M	VA
4627	97.3	9.73	29	F	DC
1685	85.68	8.568	26	F	MA
4972	98.42	9.842	40	F	DC
823	70.38	7.038	31	M	VA
4384	96.47	9.647	34	F	DC
4820	94.23	9.423	30	M	PA
4589	92.77	9.277	36	M	VA
6242	103.3	10.33	33	F	MD
1399	75.12	7.512	40	M	NJ
691	69.07	6.907	19	M	OH
5645	99.82	9.982	33	M	DC
9451	129.72	12.972	26	F	MD
2671	90.12	9.012	41	F	VA
4392	91.75	9.175	50	M	VA
3321	86.03	8.603	46	M	MD
6175	104.67	10.467	32	M	MD
454	75.68	7.568	29	F	VA
9425	129	12.9	60	F	VA
1965	78.37	7.837	28	M	DC
3740	94.28	9.428	33	F	PA
842	79.78	7.978	28	F	DC
7400	108.42	10.842	33	F	MD
1724	85.95	8.595	28	F	VA
2080	79.05	7.905	45	M	DC
7148	134.33	13.433	33	M	DC
3110	84.98	8.498	27	M	DC
7032	123.52	12.352	28	M	DE
3640	87.68	8.768	30	M	PA
8346	114.65	11.465	28	F	MD
57	64.23	6.423	29	F	NY
5370	99.9	9.99	37	F	PA
2558	81.93	8.193	41	M	VA
6818	105.63	10.563	39	F	VA
3332	86.1	8.61	34	M	PA
2876	83.77	8.377	28	M	DC
2665	82.6	8.26	36	M	VA
1942	87	8.7	47	F	VA
4558	97.08	9.708	22	F	VA
6960	106.35	10.635	60	F	DC
4253	96.02	9.602	17	F	MD
521	76.45	7.645	27	F	DC
6058	102.55	10.255	34	F	NY
269	63.23	6.323	40	M	DC
8897	119.65	11.965	37	F	VA
3062	91.73	9.173	44	F	VA
6920	118.8	11.88	31	M	FL
459	66.4	6.64	30	M	DC
4973	98.42	9.842	26	F	DC
3369	86.28	8.628	62	M	CO
8945	120.22	12.022	42	F	VA
7455	108.73	10.873	53	F	VA
4310	96.18	9.618	28	F	VA
4607	97.25	9.725	35	F	VA
435	75.5	7.55	39	F	VA
6729	105.22	10.522	29	F	MD
2670	82.63	8.263	29	M	DC
2821	90.73	9.073	32	F	NJ
4718	93.6	9.36	32	M	VA
9098	122.35	12.235	51	F	VA
737	69.58	6.958	32	M	MD
2867	83.7	8.37	27	M	MD
935	71.42	7.142	34	M	MD
8044	112.6	11.26	40	F	PA
5529	98.75	9.875	30	M	NJ
1163	82.37	8.237	28	F	VA
2893	91.03	9.103	37	F	DC
3827	88.6	8.86	49	M	MD
1132	82.13	8.213	31	F	MD
5815	101.53	10.153	42	F	VA
5616	99.55	9.955	46	M	MD
